tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
Thukra Ke Mera Pyaar,2024,6.6,Age rating not found,amazonprimevideo,23min,Romance,India,https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar
From,2022,7.8,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",51min,"Science-Fiction, Mystery & Thriller, Drama, Horror",United States,https://www.justwatch.com/in/tv-show/from
The Day of the Jackal,2024,8.2,Age rating not found,"jiocinema, amazonprimevideo",51min,"Action & Adventure, Crime, Drama, Mystery & Thriller","United Kingdom, United States",https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
Mismatched,2020,5.9,Age rating not found,"netflix, amazonprimevideo",36min,"Comedy, Drama, Romance",India,https://www.justwatch.com/in/tv-show/mismatched
Secret Level,2024,7.6,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",15min,"Fantasy, Science-Fiction, Animation, Action & Adventure",United States,https://www.justwatch.com/in/tv-show/secret-level
Mirzapur,2018,8.4,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",50min,"Action & Adventure, Drama, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/tv-show/mirzapur
Scam 1992: The Harshad Mehta Story,2020,9.2,Age rating not found,"sonyliv, vimoviesandtv, amazonprimevideo",52min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/scam-1992
Dune: Prophecy,2024,7.3,Age rating not found,"jiocinema, amazonprimevideo",1h 3min,"Science-Fiction, Action & Adventure, Drama","Hungary, United States, Canada",https://www.justwatch.com/in/tv-show/dune-the-sisterhood
The Penguin,2024,8.7,Age rating not found,"jiocinema, amazonprimevideo",58min,"Drama, Crime, Fantasy",United States,https://www.justwatch.com/in/tv-show/the-penguin
Aindham Vedham,2024,7.4,Age rating not found,"zee5, amazonprimevideo",34min,Mystery & Thriller,India,https://www.justwatch.com/in/tv-show/aindham-vedham
Black Doves,2024,7.2,Age rating not found,"netflix, amazonprimevideo",54min,"Mystery & Thriller, Crime, Action & Adventure, Drama",United Kingdom,https://www.justwatch.com/in/tv-show/black-doves
Solo Leveling,2024,8.3,Age rating not found,"amazoncrunchyroll, amazonprimevideo",24min,"Fantasy, Animation, Action & Adventure, Science-Fiction","Japan, South Korea",https://www.justwatch.com/in/tv-show/solo-leveling-2024
Game of Thrones,2011,9.2,U,"jiocinema, amazonprimevideo",58min,"Science-Fiction, Drama, Action & Adventure, Fantasy",United States,https://www.justwatch.com/in/tv-show/game-of-thrones
Yellowstone,2018,8.6,Age rating not found,"netflix, amazonprimevideo",51min,"Western, Drama",United States,https://www.justwatch.com/in/tv-show/yellowstone
Cruel Intentions,2024,5.4,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",42min,Drama,United States,https://www.justwatch.com/in/tv-show/cruel-intentions
